% Model,6inch_1inch_ALUMINA_only_WGM_Qtesting_1to5GHz_P_OF_1_PLOTGROUP.mph
% Version,COMSOL 6.1.0.282
% Date,"May 22 2025, 11:58"
% Table,Table 6 - 
% Arc length (m),Electric field norm
0.004595933498874077,39.595373066118114
0.004752088750935383,39.187271576404655
0.005194888167514959,38.409461880832964
0.00582293255210413,38.84613829187154
0.006385772027551067,40.51869298047701
0.006773128716621089,37.42484721380577
0.007304591575109576,37.498432782684816
0.0073797674796735446,37.59433717900129
0.007942702020450172,38.84504563120586
0.00888175832368282,42.2951254356878
0.009056357157124686,43.03128326253538
0.009379321896051486,44.41883503495564
0.009502211504749499,44.03670601288094
0.009946468688734533,45.78367092827287
0.011743083332222905,50.85879864793999
0.0118109522088639,50.97185363184794
0.012264445936843445,52.96451759730805
0.012417605310561517,52.994252091173834
0.012759203844596426,52.95562515351824
0.013589902496337548,52.225456903044716
0.014105559716453268,52.12061873705313
0.014153884318349325,51.952622664265974
0.014979509520301285,48.74850505454034
0.015045417372405055,48.469009022220746
