% Model,EigenRadiusSweep_Al&_DoubleZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 8 2025, 10:29"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.493325594406095+0.19761021463456807i,2.493325594406095,6.308696134501177
0.01905625,2.5E9,2.4934194520328767+0.2045167996409176i,2.4934194520328767,6.095879302851215
0.01905625,2.5E9,2.4937249543218654+0.19674865064891i,2.4937249543218654,6.337336866344807
0.01905625,2.5E9,2.4960060450880066+0.2341952568994904i,2.4960060450880066,5.328899650088169
0.01905625,2.5E9,2.497512681544659+0.23070882121112496i,2.497512681544659,5.412694383408836
0.01905625,2.5E9,2.503134628065754+0.2247694014311898i,2.503134628065754,5.5682281754708844
0.01905625,2.5E9,2.503212077431818+0.208207534021926i,2.503212077431818,6.011338852820303
0.01905625,2.5E9,2.5032940045603023+0.20874666786162982i,2.5032940045603023,5.996009493717141
0.01905625,2.5E9,2.503348039415407+0.002254749701822429i,2.503348039415407,555.1277016229441
0.01905625,2.5E9,2.5034993727001034+0.22576737171297126i,2.5034993727001034,5.544422459510493
0.01905625,2.5E9,2.503546111858216+0.22402553550253185i,2.503546111858216,5.587635593063725
0.01905625,2.5E9,2.5040477378637367+0.22463533317422021i,2.5040477378637367,5.573583866972688
0.01905625,2.5E9,2.5042394199050437+0.002263955717460541i,2.5042394199050437,553.0672266668774
0.01905625,2.5E9,2.5065426226033223+0.217351921684968i,2.5065426226033223,5.766092618763062
0.01905625,2.5E9,2.507188247759692+0.2185027223991919i,2.507188247759692,5.737201395548754
0.01905625,2.5E9,2.515108173443051+0.2113060693078451i,2.515108173443051,5.951339168064477
0.01905625,2.5E9,2.519686003014884+0.05988741523621891i,2.519686003014884,21.036857185071998
0.01905625,2.5E9,2.5201113083563276+0.06024809068465596i,2.5201113083563276,20.91444956776159
0.01905625,2.5E9,2.520425958032549+0.2142882827682374i,2.520425958032549,5.880923411847266
0.01905625,2.5E9,2.5206535781794663+0.20515793276771851i,2.5206535781794663,6.143202810084295
0.01905625,2.5E9,2.5213060961504987+0.20397382372584597i,2.5213060961504987,6.180464851066618
0.01905625,2.5E9,2.5222366188600636+0.21419691585601225i,2.5222366188600636,5.887658579910566
0.01905625,2.5E9,2.5241888042410277+0.1882139754356597i,2.5241888042410277,6.705635961405831
0.01905625,2.5E9,2.5251111361592447+1.05541180548024E-4i,2.5251111361592447,11962.681879469092
0.01905625,2.5E9,2.525326950348974+0.1879124437993749i,2.525326950348974,6.719424481130011
0.01905625,2.5E9,2.525347900440211+0.19052080729651635i,2.525347900440211,6.627485827597548
0.01905625,2.5E9,2.5255375188852502+1.06121509597837E-4i,2.5255375188852502,11899.272487058206
0.01905625,2.5E9,2.5264023892984437+0.1901259790081672i,2.5264023892984437,6.644022038645013
0.01905625,2.5E9,2.5344708924519885+0.19947446552254153i,2.5344708924519885,6.3528704935058
0.01905625,2.5E9,2.53578144525797+0.19852449284710036i,2.53578144525797,6.386570767393872
0.01905625,2.5E9,2.537961987319111+0.2116971579672136i,2.537961987319111,5.9943222943790655
0.01905625,2.5E9,2.5385935431393274+0.20423816383461127i,2.5385935431393274,6.214787421402394
0.01905625,2.5E9,2.5400761369138225+0.20372678980994655i,2.5400761369138225,6.234025822729103
0.01905625,2.5E9,2.5407364667089753+0.17172853863810153i,2.5407364667089753,7.39753708631764
0.01905625,2.5E9,2.5408098492969+0.17195906281879492i,2.5408098492969,7.3878334984133
0.01905625,2.5E9,2.5409519846701563+0.17223894788892422i,2.5409519846701563,7.376241018113974
0.01905625,2.5E9,2.5411762578650468+0.17279122929922575i,2.5411762578650468,7.353313788469103
0.01905625,2.5E9,2.5434312172634903+0.21565959989999833i,2.5434312172634903,5.8968652878028225
