% Model,EigenRadiusSweep_Al&ZotefoamContactModel_2.5to5.5GHz.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 3 2025, 11:13"
% Table,Table 1 - 
% r_zotefoam (m),search_freq (Hz),Eigenfrequency (GHz),Frequency (GHz),Quality factor (1)
0.01905625,2.5E9,2.4857464928736412+0.21451736881114056i,2.4857464928736412,5.793811724080192
0.01905625,2.5E9,2.4874311951399104+0.20772808376190244i,2.4874311951399104,5.987228953575194
0.01905625,2.5E9,2.4875927268085656+0.20599972203652306i,2.4875927268085656,6.03785457139482
0.01905625,2.5E9,2.491278461129849+0.19923362930991295i,2.491278461129849,6.2521534887431125
0.01905625,2.5E9,2.491475534691016+0.20006167902071156i,2.491475534691016,6.226768531801345
0.01905625,2.5E9,2.492979896460147+0.21130592583146088i,2.492979896460147,5.8989824508011335
0.01905625,2.5E9,2.4930524374712277+0.20236497462937098i,2.4930524374712277,6.159792330755911
0.01905625,2.5E9,2.4930903969680482+0.20113386239656122i,2.4930903969680482,6.197589921613001
0.01905625,2.5E9,2.493256611863185+0.19636928885625182i,2.493256611863185,6.348387332828616
0.01905625,2.5E9,2.4934687248379848+0.19711068845965452i,2.4934687248379848,6.3250469680855455
0.01905625,2.5E9,2.4935334179516415+0.21769711129327388i,2.4935334179516415,5.727070522751313
0.01905625,2.5E9,2.494574265906259+0.21846873454703417i,2.494574265906259,5.709224871646798
0.01905625,2.5E9,2.494709446563879+0.23271282544463096i,2.494709446563879,5.360060069309419
0.01905625,2.5E9,2.497044494137478+0.23384551177690893i,2.497044494137478,5.339090058139933
0.01905625,2.5E9,2.5030356735849497+0.22582881818672865i,2.5030356735849497,5.5418871995231616
0.01905625,2.5E9,2.5036207783019813+0.22502971517545994i,2.5036207783019813,5.562867055912728
0.01905625,2.5E9,2.5036537558208924+0.22468881711867697i,2.5036537558208924,5.571380427221047
0.01905625,2.5E9,2.5039582604650104+0.002280251893152256i,2.5039582604650104,549.0529945363841
0.01905625,2.5E9,2.504313473059267+0.0022677573720455858i,2.504313473059267,552.1563955495602
0.01905625,2.5E9,2.50434192309662+0.2241570839945271i,2.50434192309662,5.586131561110433
