Index,Freq (Hz),Resp (dB),Comp Resp,Comp Resp w/out Background,Resp w/out Background (dB),Normalized Comp Resp,Normalized Resp (dB),fit,guess
1412,5201812500.0,-31.81314,(-0.02573211+0.001129883j),(-1.044887924820976+0.04125475168196872j),0.388158999999991,(0.9925745257503223+0.18864297439971553j),0.0893656047372992,(0.2594872640481839-0.0075441223257314794j),(0.9611862786513836-0.1523572468685192j)
1413,5201815625.0,-32.0079,(-0.02514567+0.001112522j),(-1.0217060771484834+0.04068021732242253j),0.1933989999999923,(0.9642171015358258+0.21700380763391636j),-0.1019200534572135,(0.2594880441868569-0.006772719251342485j),(0.9603248709484506-0.1539276556882295j)
1414,5201818750.0,-31.94303,(-0.02529237+0.001393246j),(-1.0288617031502125+0.05211592243912183j),0.2582689999999914,(0.966529527395652+0.24107962874319194j),-0.0335757116517285,(0.25949043124705107-0.0060013374724489366j),(0.9594351288027224-0.1555280649972344j)
1415,5201821875.0,-31.92025,(-0.02540497+0.001373421j),(-1.0316164193908761+0.05119904756311205j),0.2810489999999923,(0.9604251983858961+0.27549782353811675j),-0.0073213698462418,(0.25949442509553255-0.0052299820094243036j),(0.9585158272029872-0.15715923579277724j)
1416,5201825000.0,-31.82021,(-0.02569361+0.001592049j),(-1.0431265520591513+0.06000872830980312j),0.3810889999999922,(0.9643593549211055+0.30398585600860517j),0.0961929719592439,(0.2595000255781643-0.0044586578811139374j),(0.9575656761047078-0.15882194881986877j)
1417,5201828125.0,-31.93085,(-0.0253179+0.001240531j),(-1.0306033116792082+0.04593316266916353j),0.2704489999999921,(0.9374402035241403+0.3445032648513577j),-0.0109726862352702,(0.25950723251990626-0.0036873701060732436j),(0.9565833163837246-0.16051700469247168j)
1418,5201831250.0,-31.87953,(-0.02534352+0.001603951j),(-1.0359472258508846+0.06096820373893523j),0.3217689999999926,(0.9363814669352094+0.36514536323421415j),0.0438216555702161,(0.2595160457248259-0.0029161237015609474j),(0.955567315502512-0.16224522395073404j)
1419,5201834375.0,-31.70657,(-0.02592927+0.001483406j),(-1.0571398529428158+0.05579270726890411j),0.4947289999999924,(0.9399534652737354+0.4105013608590071j),0.2202559973747924,(0.259526464976105-0.0021449236836548827j),(0.9545161628711124-0.1640074470350254j)
1420,5201837500.0,-31.85424,(-0.02538133+0.001614133j),(-1.0389491668301247+0.06146353780419722j),0.3470589999999909,(0.9130161544871205+0.42903298619931945j),0.0760603391802767,(0.25953849003604323-0.001373775067367808j),(0.953428264877866-0.16580453416518778j)
1421,5201840625.0,-31.92752,(-0.02526641+0.001783331j),(-1.0297719990697765+0.06811029209672878j),0.2737789999999904,(0.893918243894523+0.4498348633989907j),0.0062546809857621,(0.25955212064608335-0.0006026828656410916j),(0.9523019395627669-0.16763736511182073j)
1422,5201843750.0,-31.88738,(-0.02538328+0.001952746j),(-1.0340891562800312+0.07495743126711439j),0.3139189999999914,(0.8856127521842612+0.47669591990218035j),0.049869022791249,(0.2595673565267973+0.00016834790941718116j),(0.951135410910681-0.16950683883360357j)
1423,5201846875.0,-32.0089,(-0.02495523+0.001784162j),(-1.020107152495643+0.06840226049414248j),0.1923989999999946,(0.8545104174242122+0.5042184758275158j),-0.0681766354032618,(0.25958419737791205+0.000939312247538375j),(0.9499268027283625-0.17141387297041555j)
1424,5201850000.0,-31.8383,(-0.0254155+0.001648755j),(-1.0407784203635573+0.06289982901170578j),0.3629989999999914,(0.8502764442148503+0.5492845652095357j),0.1058977064022208,(0.2596026428783157+0.001710205140177229j),(0.9486741320779166-0.1733594031608039j)
1425,5201853125.0,-31.76266,(-0.0257166+0.001387422j),(-1.0505098324658917+0.052020519186159755j),0.4386389999999913,(0.8323882128349832+0.5921578259184573j),0.1850120482077066,(0.25962269268606386+0.0024810215803957878j),(0.9473753022306267-0.1753443821593591j)
1426,5201856250.0,-31.98617,(-0.02510871+0.002082524j),(-1.0219336616544252+0.08021382263971322j),0.2151289999999903,(0.8086495198752662+0.5814240281369665j),-0.0350236099868084,(0.2596443464384154+0.0032517565638689053j),(0.9460280951018933-0.17736977872618123j)
1427,5201859375.0,-32.0345,(-0.02491729+0.0018111j),(-1.0170235586110992+0.06940496030200188j),0.1667989999999903,(0.7782130339681087+0.6133186034122128j),-0.0798792681813226,(0.25966760375180986+0.004022405087646302j),(0.9446301631328601-0.17943657624460457j)
1428,5201862500.0,-31.9192,(-0.02511563+0.002806213j),(-1.0271196110102372+0.11016827972893047j),0.2820989999999916,(0.791919129030957+0.6179484112812507j),0.0388950736232551,(0.25969246422190506+0.004792962151157936j),(0.9431790205680114-0.1815457710386303j)
1429,5201865625.0,-31.94376,(-0.02527345+0.002087279j),(-1.0269637452420208+0.08024691027095861j),0.2575389999999906,(0.7497827878053746+0.6647818892080647j),0.0178094154287399,(0.2597189274235847+0.005563422756097496j),(0.9416720340880108-0.18369837033566058j)
1430,5201868750.0,-31.65409,(-0.02596699+0.002666416j),(-1.0599261206090054+0.10410692796610736j),0.5472089999999916,(0.7658438579874774+0.6983612840154244j),0.3109537572342269,(0.2597469929109647+0.0063337819063060425j),(0.9401064127462737-0.1858953898250908j)
1431,5201871875.0,-31.84353,(-0.02552654+0.002499183j),(-1.0375296988024638+0.09695249809679933j),0.3577689999999904,(0.7226700163678208+0.7120012319692451j),0.1249880990397115,(0.2597766602174427+0.007104034608776399j),(0.9384791971536198-0.1881378507564186j)
1432,5201875000.0,-31.80421,(-0.02553953+0.002620542j),(-1.0417724466457736+0.10224314960378376j),0.3970889999999905,(0.7050158679724697+0.736438681564005j),0.1677824408451975,(0.25980792885566517+0.0078741758724155j),(0.9367872478609749-0.19042677649917736j)
1433,5201878125.0,-31.72437,(-0.02594892+0.002877932j),(-1.05051025631581+0.1118121980995969j),0.4769289999999913,(0.6924837230064925+0.7615691432913012j),0.2510967826506842,(0.2598407983175761+0.008644200709048644j),(0.9350272328703491-0.19276318849976537j)
1434,5201881250.0,-31.74736,(-0.02579481+0.002608036j),(-1.048764971851752+0.10135735780334414j),0.4539389999999912,(0.6571701510348764+0.7892390174842561j),0.23158112445617,(0.2598752680744272+0.009414104133302568j),(0.9331956142164096-0.1951481015368808j)
1435,5201884375.0,-32.08917,(-0.02487668+0.002515493j),(-1.008294029160469+0.09745766123893397j),0.1121289999999888,(0.6059914194085702+0.7800595590753282j),-0.1067545337383464,(0.25991133757678453+0.01018388116248858j),(0.9312886335482328-0.19758251817733163j)
1436,5201887500.0,-31.89129,(-0.02533415+0.002703898j),(-1.0309590821876053+0.10542774234160872j),0.3100089999999902,(0.5973349532497103+0.8156055008837974j),0.0945998080671408,(0.25994900625459083+0.010953526817605714j),(0.9293022966363031-0.2000674223201515j)
1437,5201890625.0,-31.87076,(-0.02524846+0.003205721j),(-1.0310831643429383+0.12628596956958046j),0.330538999999991,(0.5875432327952234+0.8261228055374111j),0.118604149871718,(0.2599882735171216+0.011723036122103342j),(0.927232356737596-0.20260377168619803j)
1438,5201893750.0,-31.97775,(-0.02497162+0.002817932j),(-1.0200983043942422+0.11055009986050457j),0.2235489999999913,(0.5409062209113835+0.8431493082455483j),0.0150884916772042,(0.26002913875304734+0.012492404102884127j),(0.925074296728893-0.20519248911644514j)
1439,5201896875.0,-31.9778,(-0.02502056+0.003000622j),(-1.0192952229627736+0.11767328780331739j),0.2234989999999932,(0.5182357986894183+0.8577315971713049j),0.018512833482692,(0.26007160133044327+0.013261625790186546j),(0.9228233099351432-0.20783445249595278j)
1440,5201900000.0,-31.75319,(-0.0257309+0.002922961j),(-1.046730702004231+0.11422259960373098j),0.4481089999999916,(0.49626796033836607+0.9011893282787531j),0.2465971752881763,(0.2601156605967987+0.01403069621746748j),(0.9204742795668526-0.21053048310998673j)
1441,5201903125.0,-31.75123,(-0.02541907+0.003658401j),(-1.0430937021971338+0.14542340330185602j),0.450068999999992,(0.49291522999765464+0.9037609797818127j),0.2520315170936626,(0.2601613158790904+0.01479961042240377j),(0.9180217566785157-0.21328133221136508j)
1442,5201906250.0,-31.90883,(-0.02492218+0.003165558j),(-1.0265675703715633+0.12578490372705628j),0.2924689999999934,(0.4388211911156356+0.9111726773274459j),0.0979058588991498,(0.2602085664837295+0.015568363445655323j),(0.9154599365744919-0.21608766553030026j)
1443,5201909375.0,-31.90667,(-0.02506454+0.00377651j),(-1.0236270837914752+0.14960798762141345j),0.2946289999999933,(0.4293415867771324+0.9164023587395465j),0.1035402007046357,(0.2602574116966344+0.016336950331866402j),(0.9127826335670508-0.21895004544905686j)
1444,5201912500.0,-31.88474,(-0.0252851+0.003225732j),(-1.0293494139279873+0.1266981888602636j),0.3165589999999909,(0.3779689563892469+0.9419528683142467j),0.1289445425101191,(0.2603078507832437+0.01710536612954754j),(0.9099832540199161-0.22186891049479246j)
1445,5201915625.0,-31.87487,(-0.02508551+0.003834898j),(-1.0270560428931956+0.1523673334340803j),0.3264289999999903,(0.3699705683411166+0.9467986212926423j),0.142288884314695,(0.26035988298852486+0.017873605890957513j),(0.9070547676052281-0.22484455177221094j)
1446,5201918750.0,-31.82621,(-0.02533444+0.00417512j),(-1.0309735779872378+0.16522807045120932j),0.375088999999992,(0.3509106701003869+0.9605448949480078j),0.1944232261201826,(0.26041350753706105+0.018641664673103055j),(0.9039896767125299-0.22787708590458342j)
